/var/local/sangmank/privos/host/qemu-kvm-0.15.1/x86_64-softmmu/qemu-system-x86_64 -m 2048 -net nic,model=virtio,encrypt,macaddr=52:54:1B:95:0C:62 -net user,net=10.0.0.0/8,dhcpstart=10.0.0.1 -redir tcp:8080:10.0.0.1:80 -redir tcp:2222:10.0.0.1:22 --snapshot /var/local/sangmank/privos/diff_base.img -priv-sound -priv-diff
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 9 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 10 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
#### PRIVATE DIFF MODE ENABLED! ####
#### PRIVATE DIFF MODE ENABLED! ####
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
ui/sdl.c:139,gpu_set_gl_properties is ignored because the screen width is not 1024
resizing to 640 480
resizing to 720 400
resizing to 800 599
resizing to 1024 768
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
Allocating host and CUDA memory and loading image file...
Loading extensions: No error
Creating GL texture 1024x768...
Texture created.
Creating PBO...
PBO created.
encryption inited,buffer created
GPU thread Initialized
Avg_fps=44.232, time_per_frame=22608.000us, gpu=20883.000us, cpu=1714.000us 
Avg_fps=65.888, time_per_frame=14787.000us, gpu=13161.000us, cpu=1615.000us 
Avg_fps=66.695, time_per_frame=14747.000us, gpu=13121.000us, cpu=1615.000us 
Avg_fps=66.923, time_per_frame=14787.000us, gpu=13150.000us, cpu=1626.000us 
Avg_fps=67.069, time_per_frame=14823.000us, gpu=13138.000us, cpu=1674.000us 
Avg_fps=67.176, time_per_frame=14764.000us, gpu=13129.000us, cpu=1624.000us 
Avg_fps=67.250, time_per_frame=14772.000us, gpu=13141.000us, cpu=1621.000us 
Avg_fps=67.237, time_per_frame=14714.000us, gpu=13072.000us, cpu=1631.000us 
Avg_fps=67.281, time_per_frame=14776.000us, gpu=13147.000us, cpu=1618.000us 
Avg_fps=67.319, time_per_frame=14804.000us, gpu=13164.000us, cpu=1629.000us 
Avg_fps=67.352, time_per_frame=14728.000us, gpu=13103.000us, cpu=1614.000us 
Avg_fps=67.370, time_per_frame=14781.000us, gpu=13141.000us, cpu=1629.000us 
Avg_fps=67.377, time_per_frame=14801.000us, gpu=13176.000us, cpu=1614.000us 
Avg_fps=67.387, time_per_frame=14759.000us, gpu=13133.000us, cpu=1615.000us 
Avg_fps=67.406, time_per_frame=14856.000us, gpu=13215.000us, cpu=1630.000us 
Avg_fps=67.415, time_per_frame=14879.000us, gpu=13243.000us, cpu=1625.000us 
Avg_fps=67.427, time_per_frame=14822.000us, gpu=13198.000us, cpu=1613.000us 
