/var/local/sangmank/privos/host/qemu-kvm-0.15.1/x86_64-softmmu/qemu-system-x86_64 -m 2048 -net nic,model=virtio,encrypt,macaddr=52:54:F4:A0:AC:0A -net user,net=10.0.0.0/8,dhcpstart=10.0.0.1 -redir tcp:8080:10.0.0.1:80 -redir tcp:2222:10.0.0.1:22 --snapshot /var/local/sangmank/privos/diff_base.img -priv-sound -priv-diff
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 9 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 10 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
#### PRIVATE DIFF MODE ENABLED! ####
#### PRIVATE DIFF MODE ENABLED! ####
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
ui/sdl.c:139,gpu_set_gl_properties is ignored because the screen width is not 1024
resizing to 640 480
resizing to 720 400
resizing to 800 599
resizing to 1024 768
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
Allocating host and CUDA memory and loading image file...
Loading extensions: No error
Creating GL texture 1024x768...
Texture created.
Creating PBO...
PBO created.
encryption inited,buffer created
GPU thread Initialized
Avg_fps=35.699, time_per_frame=28012.000us, gpu=21329.000us, cpu=6672.000us 
Avg_fps=66.454, time_per_frame=14724.000us, gpu=13126.000us, cpu=1587.000us 
Avg_fps=67.213, time_per_frame=14726.000us, gpu=13127.000us, cpu=1587.000us 
Avg_fps=67.400, time_per_frame=14745.000us, gpu=13141.000us, cpu=1593.000us 
Avg_fps=67.522, time_per_frame=14783.000us, gpu=13122.000us, cpu=1650.000us 
Avg_fps=67.543, time_per_frame=14688.000us, gpu=13088.000us, cpu=1588.000us 
Avg_fps=67.599, time_per_frame=14691.000us, gpu=13094.000us, cpu=1586.000us 
Avg_fps=67.616, time_per_frame=14709.000us, gpu=13112.000us, cpu=1586.000us 
Avg_fps=67.644, time_per_frame=14687.000us, gpu=13084.000us, cpu=1592.000us 
Avg_fps=67.661, time_per_frame=14700.000us, gpu=13093.000us, cpu=1596.000us 
Avg_fps=67.690, time_per_frame=14714.000us, gpu=13118.000us, cpu=1585.000us 
Avg_fps=67.711, time_per_frame=14705.000us, gpu=13109.000us, cpu=1585.000us 
Avg_fps=67.730, time_per_frame=14695.000us, gpu=13097.000us, cpu=1586.000us 
Avg_fps=67.744, time_per_frame=14719.000us, gpu=13109.000us, cpu=1599.000us 
Avg_fps=67.753, time_per_frame=14717.000us, gpu=13105.000us, cpu=1601.000us 
Avg_fps=67.762, time_per_frame=14724.000us, gpu=13112.000us, cpu=1601.000us 
Avg_fps=67.772, time_per_frame=14695.000us, gpu=13098.000us, cpu=1586.000us 
Avg_fps=67.778, time_per_frame=14782.000us, gpu=13127.000us, cpu=1644.000us 
Avg_fps=67.789, time_per_frame=14676.000us, gpu=13077.000us, cpu=1587.000us 
Avg_fps=67.798, time_per_frame=14816.000us, gpu=13138.000us, cpu=1667.000us 
Avg_fps=67.804, time_per_frame=14710.000us, gpu=13110.000us, cpu=1588.000us 
Avg_fps=67.813, time_per_frame=14719.000us, gpu=13121.000us, cpu=1587.000us 
