/var/local/sangmank/privos/host/qemu-kvm-0.15.1/x86_64-softmmu/qemu-system-x86_64 -m 2048 -net nic,model=virtio,encrypt,macaddr=52:54:45:42:CF:CC -net user,net=10.0.0.0/8,dhcpstart=10.0.0.1 -redir tcp:8080:10.0.0.1:80 -redir tcp:2222:10.0.0.1:22 --snapshot /var/local/sangmank/privos/diff_base.img -priv-sound -priv-diff
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 9 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 10 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
#### PRIVATE DIFF MODE ENABLED! ####
#### PRIVATE DIFF MODE ENABLED! ####
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
ui/sdl.c:139,gpu_set_gl_properties is ignored because the screen width is not 1024
resizing to 640 480
resizing to 720 400
resizing to 800 599
resizing to 1024 768
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
Allocating host and CUDA memory and loading image file...
Loading extensions: No error
Creating GL texture 1024x768...
Texture created.
Creating PBO...
PBO created.
encryption inited,buffer created
GPU thread Initialized
Avg_fps=44.431, time_per_frame=22507.000us, gpu=20870.000us, cpu=1626.000us 
Avg_fps=66.297, time_per_frame=14698.000us, gpu=13093.000us, cpu=1594.000us 
Avg_fps=67.017, time_per_frame=14705.000us, gpu=13100.000us, cpu=1594.000us 
Avg_fps=67.252, time_per_frame=14680.000us, gpu=13075.000us, cpu=1594.000us 
Avg_fps=67.406, time_per_frame=14686.000us, gpu=13081.000us, cpu=1594.000us 
Avg_fps=67.514, time_per_frame=14732.000us, gpu=13126.000us, cpu=1595.000us 
Avg_fps=67.579, time_per_frame=14739.000us, gpu=13136.000us, cpu=1592.000us 
Avg_fps=67.587, time_per_frame=14732.000us, gpu=13127.000us, cpu=1594.000us 
Avg_fps=67.606, time_per_frame=14739.000us, gpu=13122.000us, cpu=1606.000us 
Avg_fps=67.609, time_per_frame=14771.000us, gpu=13166.000us, cpu=1594.000us 
Avg_fps=67.642, time_per_frame=14702.000us, gpu=13100.000us, cpu=1591.000us 
Avg_fps=67.604, time_per_frame=14751.000us, gpu=13092.000us, cpu=1648.000us 
Avg_fps=67.618, time_per_frame=14729.000us, gpu=13124.000us, cpu=1594.000us 
Avg_fps=67.643, time_per_frame=14699.000us, gpu=13095.000us, cpu=1593.000us 
Avg_fps=67.657, time_per_frame=14685.000us, gpu=13082.000us, cpu=1592.000us 
Avg_fps=67.669, time_per_frame=14732.000us, gpu=13127.000us, cpu=1594.000us 
Avg_fps=67.677, time_per_frame=14721.000us, gpu=13115.000us, cpu=1595.000us 
Avg_fps=67.687, time_per_frame=14743.000us, gpu=13140.000us, cpu=1592.000us 
Avg_fps=67.700, time_per_frame=14750.000us, gpu=13145.000us, cpu=1594.000us 
Avg_fps=67.708, time_per_frame=14723.000us, gpu=13118.000us, cpu=1594.000us 
Avg_fps=67.716, time_per_frame=14740.000us, gpu=13134.000us, cpu=1595.000us 
Avg_fps=67.724, time_per_frame=14691.000us, gpu=13085.000us, cpu=1595.000us 
Avg_fps=67.733, time_per_frame=14713.000us, gpu=13112.000us, cpu=1590.000us 
Avg_fps=67.739, time_per_frame=15193.000us, gpu=13128.000us, cpu=2054.000us 
Avg_fps=67.736, time_per_frame=14709.000us, gpu=13105.000us, cpu=1593.000us 
Avg_fps=67.740, time_per_frame=14722.000us, gpu=13108.000us, cpu=1604.000us 
Avg_fps=67.743, time_per_frame=14769.000us, gpu=13099.000us, cpu=1659.000us 
Avg_fps=67.741, time_per_frame=14758.000us, gpu=13153.000us, cpu=1594.000us 
Avg_fps=67.748, time_per_frame=14716.000us, gpu=13110.000us, cpu=1595.000us 
Avg_fps=67.748, time_per_frame=14717.000us, gpu=13111.000us, cpu=1594.000us 
Avg_fps=67.748, time_per_frame=14671.000us, gpu=13064.000us, cpu=1596.000us 
