/var/local/sangmank/privos/host/qemu-kvm-0.15.1/x86_64-softmmu/qemu-system-x86_64 -m 2048 -net nic,model=virtio,encrypt,macaddr=52:54:8D:FF:59:9F -net user,net=10.0.0.0/8,dhcpstart=10.0.0.1 -redir tcp:8080:10.0.0.1:80 -redir tcp:2222:10.0.0.1:22 --snapshot /var/local/sangmank/privos/diff_base.img -priv-sound -priv-diff
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 9 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 10 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
#### PRIVATE DIFF MODE ENABLED! ####
#### PRIVATE DIFF MODE ENABLED! ####
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
ui/sdl.c:139,gpu_set_gl_properties is ignored because the screen width is not 1024
resizing to 640 480
resizing to 720 400
resizing to 800 599
resizing to 1024 768
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
Allocating host and CUDA memory and loading image file...
Loading extensions: No error
Creating GL texture 1024x768...
Texture created.
Creating PBO...
PBO created.
encryption inited,buffer created
GPU thread Initialized
Avg_fps=40.437, time_per_frame=24730.000us, gpu=21274.000us, cpu=3445.000us 
Avg_fps=66.718, time_per_frame=14733.000us, gpu=13119.000us, cpu=1603.000us 
Avg_fps=67.192, time_per_frame=14735.000us, gpu=13116.000us, cpu=1608.000us 
Avg_fps=67.333, time_per_frame=14764.000us, gpu=13107.000us, cpu=1646.000us 
Avg_fps=67.444, time_per_frame=14708.000us, gpu=13105.000us, cpu=1592.000us 
Avg_fps=67.517, time_per_frame=14785.000us, gpu=13126.000us, cpu=1648.000us 
Avg_fps=67.396, time_per_frame=14738.000us, gpu=13125.000us, cpu=1602.000us 
Avg_fps=67.444, time_per_frame=14835.000us, gpu=13220.000us, cpu=1604.000us 
Avg_fps=67.486, time_per_frame=14850.000us, gpu=13235.000us, cpu=1604.000us 
Avg_fps=67.496, time_per_frame=14794.000us, gpu=13175.000us, cpu=1608.000us 
Avg_fps=67.509, time_per_frame=14755.000us, gpu=13136.000us, cpu=1608.000us 
Avg_fps=67.516, time_per_frame=14726.000us, gpu=13126.000us, cpu=1589.000us 
Avg_fps=67.537, time_per_frame=14807.000us, gpu=13138.000us, cpu=1658.000us 
Avg_fps=67.556, time_per_frame=14716.000us, gpu=13113.000us, cpu=1593.000us 
Avg_fps=67.575, time_per_frame=14721.000us, gpu=13120.000us, cpu=1590.000us 
Avg_fps=67.577, time_per_frame=14701.000us, gpu=13100.000us, cpu=1590.000us 
Avg_fps=67.590, time_per_frame=14798.000us, gpu=13130.000us, cpu=1656.000us 
